Country,iso_a3,currency_code,local_price,dollar_ex,dollar_price,dollar_ppp,GDP_dollar,dollar_valuation,euro_valuation,sterling_valuation,yen_valuation,yuan_valuation,dollar_adj_valuation,euro_adj_valuation,sterling_adj_valuation,yen_adj_valuation,yuan_adj_valuation
Oman,OMN,OMR,1.05,0.385,2.727272727,0.190562613,,-50.5,-42.4,-35.5,-22.2,-11.9,,,,,
Pakistan,PAK,PKR,375,121.49,3.0866738,68.05807623,1541.08,-44,-34.8,-27.1,-12,-0.3,6.7,1.5,16.5,38.8,10.8
Peru,PER,PEN,10.5,3.2715,3.20953691,1.905626134,6762.192,-41.8,-32.2,-24.2,-8.4,3.7,2.6,-2.4,12,33.4,6.5
Philippines,PHL,PHP,140,53.487,2.617458448,25.40834846,2976.307,-52.5,-44.7,-38.1,-25.3,-15.4,-11.5,-15.8,-3.4,15.1,-8.1
Poland,POL,PLN,10.1,3.68695,2.739391638,1.833030853,13822.619,-50.3,-42.1,-35.3,-21.9,-11.5,-20.5,-24.4,-13.3,3.4,-17.5
Portugal,PRT,EUR,3.2,0.87248614928238,3.66768,,,,,,,,,,,
Qatar,QAT,QAR,12,3.641,3.295797858,2.177858439,,-40.2,-30.4,-22.1,-6,6.5,,,,,
Romania,ROU,RON,9.2,3.97325,2.315484805,1.66969147,,-58,-51.1,-45.3,-33.9,-25.2,,,,,
Russia,RUS,RUB,130,62.14065,2.092028326,23.59346642,10608.159,-62,-55.8,-50.6,-40.3,-32.4,-36.6,-39.7,-30.9,-17.6,-34.2
Saudi Arabia,SAU,SAR,12,3.7504,3.199658703,2.177858439,21120.481,-41.9,-32.4,-24.4,-8.7,3.4,-15.3,-19.4,-7.6,10.2,-12.1
Singapore,SGP,SGD,5.8,1.35585,4.277759339,1.052631579,57713.335,-22.4,-9.7,1.1,22,38.2,-21.2,-25,-14,2.5,-18.2
Slovakia,SVK,EUR,2.8,0.87248614928238,3.20922,,,,,,,,,,,
Slovenia,SVN,EUR,3.84,0.87248614928238,4.401216,,,,,,,,,,,
Sweden,SWE,SEK,51,8.7526,5.826840025,9.255898367,53217.627,5.8,23.1,37.7,66.2,88.2,11.5,6.1,21.7,45,15.7
Thailand,THA,THB,119,33.17,3.587579138,21.59709619,6590.638,-34.9,-24.2,-15.2,2.3,15.9,15,9.4,25.5,49.5,19.3
Turkey,TUR,TRY,10.75,4.70625,2.284196547,1.950998185,10511.996,-58.5,-51.8,-46,-34.8,-26.2,-30.7,-34.1,-24.4,-9.9,-28.1
Taiwan,TWN,TWD,69,30.3725,2.271791917,12.52268603,24576.665,-58.8,-52,-46.3,-35.2,-26.6,-42.2,-45,-37,-24.9,-40
Ukraine,UKR,UAH,50,26.199,1.908469789,9.074410163,,-65.4,-59.7,-54.9,-45.6,-38.4,,,,,
Uruguay,URY,UYU,140,31.31,4.471414883,25.40834846,,-18.8,-5.6,5.7,27.5,44.4,,,,,
United States,USA,USD,5.51,1,5.51,1,59501.114,0,16.4,30.2,57.2,78,0,-4.9,9.1,30,3.8
Vietnam,VNM,VND,65000,23039.5,2.82124178,11796.73321,,-48.8,-40.4,-33.3,-19.5,-8.9,,,,,
South Africa,ZAF,ZAR,31,13.3619,2.320029337,5.626134301,6179.87,-57.9,-51,-45.2,-33.8,-25.1,-25.2,-28.8,-18.4,-2.7,-22.4
